Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.486042756022
FDW14,OUT017,1591.7612740786305
NCN55,OUT010,1822.6726586170043
FDQ58,OUT017,2546.3629591573917
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122507
FDL48,OUT018,680.8000272442421
FDC48,OUT027,2806.0427441358866
FDN33,OUT045,1541.2477558067715
FDA36,OUT017,3051.6757355410964
FDT44,OUT017,2004.9816551032447
FDQ56,OUT045,1358.1533406290985
NCC54,OUT019,1819.7081624356497
FDU11,OUT049,2076.750193350652
DRL59,OUT013,963.7365800429799
FDM24,OUT049,2541.5716064996277
FDI57,OUT045,3047.5751030919696
DRC12,OUT018,2726.590331793127
NCM42,OUT027,3196.322082094337
FDA46,OUT010,1129.0865932092934
FDA31,OUT013,2782.8531016284633
NCJ31,OUT035,3802.6708588840006
FDG52,OUT046,863.6967323629364
NCL19,OUT019,383.6749739722943
FDS10,OUT035,2986.404070313178
FDX22,OUT010,1453.2700642602767
NCF19,OUT035,998.5313152811385
NCE06,OUT046,2519.829608866122
DRC27,OUT046,3768.666066789689
FDE21,OUT035,2044.9750562281497
NCR42,OUT019,-1251.1341145471438
FDX51,OUT018,2840.7076836527986
NCR06,OUT018,510.7134768810493
FDU31,OUT027,4872.6616182120215
FDU59,OUT017,2684.937811854625
FDR03,OUT027,4667.855182836751
FDS49,OUT027,2769.552144702106
FDD48,OUT010,-11.742853337761517
NCF18,OUT017,3083.509221364912
NCD43,OUT027,3104.414085400248
NCD54,OUT018,2007.8274969877762
FDY19,OUT010,23.568113246545636
NCY54,OUT017,2783.2415589678117
NCL19,OUT018,2023.5214175263477
FDP23,OUT010,1509.3653428274201
FDC26,OUT013,1848.5794920752444
FDR14,OUT010,-931.0749455928526
NCS41,OUT035,2986.619667600746
FDF41,OUT035,3971.336466450322
FDU34,OUT046,2004.568317313598
DRH11,OUT046,984.1695289641891
FDM03,OUT013,1734.3034064058745
FDS31,OUT017,2964.893326909247
FDJ20,OUT017,2116.7529678965666
FDV44,OUT027,4427.784808962078
