Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1579.1113015751428
FDW14,OUT017,1450.2395817710776
NCN55,OUT010,569.7099072821673
FDQ58,OUT017,2479.5390760046544
FDY38,OUT027,5868.635804089672
FDH56,OUT046,1940.8483409936518
FDL48,OUT018,741.7395812295041
FDC48,OUT027,2135.163486884583
FDN33,OUT045,1526.9906859482494
FDA36,OUT017,3049.645126952779
FDT44,OUT017,1960.8514023981916
FDQ56,OUT045,1435.162279726249
NCC54,OUT019,571.0436992045554
FDU11,OUT049,2013.8666551509605
DRL59,OUT013,831.8090832825901
FDM24,OUT049,2468.3924417523804
FDI57,OUT045,3114.80429550294
DRC12,OUT018,3046.8390181054237
NCM42,OUT027,2911.1663143989467
FDA46,OUT010,506.08268452031376
FDA31,OUT013,2865.4001459237184
NCJ31,OUT035,3879.1628513062756
FDG52,OUT046,745.993806410838
NCL19,OUT019,288.76451128096886
FDS10,OUT035,3001.1514697138864
FDX22,OUT010,565.246277661817
NCF19,OUT035,739.1668927913472
NCE06,OUT046,2560.358429453251
DRC27,OUT046,3895.6688179073676
FDE21,OUT035,1940.8483409936518
NCR42,OUT019,133.0801908300408
FDX51,OUT018,3046.6265280197567
NCR06,OUT018,667.7975735787452
FDU31,OUT027,5868.635804089672
FDU59,OUT017,2568.5598795167207
FDR03,OUT027,5863.060277156746
FDS49,OUT027,2058.961160416135
FDD48,OUT010,267.96039324760795
NCF18,OUT017,3050.318724203398
NCD43,OUT027,2848.9267380232027
NCD54,OUT018,2112.9873542741357
FDY19,OUT010,268.1947897782915
NCY54,OUT017,2863.614719565935
NCL19,OUT018,2449.9577334004225
FDP23,OUT010,566.6151749775585
FDC26,OUT013,1712.0101750417994
FDR14,OUT010,133.0801908300408
NCS41,OUT035,3051.4907104605036
FDF41,OUT035,3907.135775766065
FDU34,OUT046,2013.8666551509605
DRH11,OUT046,969.9137587224317
FDM03,OUT013,1584.025972643385
FDS31,OUT017,3007.7944373652276
FDJ20,OUT017,2013.8666551509605
FDV44,OUT027,5117.291972578941
FDG02,OUT049,3051.9518176254564
FDA09,OUT013,2955.394889151798
FDT04,OUT013,707.4114715057243
FDL58,OUT019,568.5803810095645
