Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.7131653488907
FDW14,OUT017,1365.8321822983987
NCN55,OUT010,573.5346405452614
FDQ58,OUT017,2468.1094363231873
FDY38,OUT027,5857.936727257145
FDH56,OUT046,1936.9507284102901
FDL48,OUT018,771.5918765088012
FDC48,OUT027,2143.817961118711
FDN33,OUT045,1533.3032484044825
FDA36,OUT017,3105.3667474755853
FDT44,OUT017,1923.359919266328
FDQ56,OUT045,1360.7363562395967
NCC54,OUT019,574.550799048441
FDU11,OUT049,2026.2988843105313
DRL59,OUT013,873.0926546652686
FDM24,OUT049,2452.8433226725338
FDI57,OUT045,3064.8265021741227
DRC12,OUT018,2944.7777617815586
NCM42,OUT027,2915.7107893306184
FDA46,OUT010,509.3838887602753
FDA31,OUT013,2858.804901187021
NCJ31,OUT035,3878.085421570834
FDG52,OUT046,790.6925107603998
NCL19,OUT019,288.2184117741244
FDS10,OUT035,2998.317718699518
FDX22,OUT010,566.2123897317075
NCF19,OUT035,761.0585713045647
NCE06,OUT046,2560.8635828085053
DRC27,OUT046,3897.141443922089
FDE21,OUT035,1952.2760707141774
NCR42,OUT019,132.81591813380774
FDX51,OUT018,2987.912315959239
NCR06,OUT018,614.5189045368334
FDU31,OUT027,5860.537706003512
FDU59,OUT017,2560.679165858833
FDR03,OUT027,5856.775861224531
FDS49,OUT027,2045.5737325843263
FDD48,OUT010,269.68305366850836
NCF18,OUT017,3031.837787931526
NCD43,OUT027,2865.380678177162
NCD54,OUT018,2093.3677296592386
FDY19,OUT010,270.12381994875864
NCY54,OUT017,2871.551092379216
NCL19,OUT018,2441.6184165547825
FDP23,OUT010,569.4833087367763
FDC26,OUT013,1737.5287053817665
FDR14,OUT010,132.81591813380774
NCS41,OUT035,3114.098767244158
FDF41,OUT035,3895.072320205555
FDU34,OUT046,2046.7464711719724
DRH11,OUT046,961.3143476212823
FDM03,OUT013,1647.2243363252162
FDS31,OUT017,3065.5562448035257
FDJ20,OUT017,2001.7147715584629
FDV44,OUT027,5160.402386440572
FDG02,OUT049,3115.799191680367
FDA09,OUT013,3000.1969586895216
FDT04,OUT013,701.2089181048007
FDL58,OUT019,571.6585629877784
FDE52,OUT045,1382.7601571483954
FDW12,OUT035,2480.286364860081
FDL51,OUT017,3669.429334756402
NCY42,OUT027,3018.5593630611716
FDR07,OUT017,1552.4110796397647
FDN40,OUT045,2465.8629405843635
FDB35,OUT027,2692.5236566712224
FDA22,OUT017,2551.489193671273
NCL06,OUT046,4130.558870572676
FDI35,OUT013,3058.6830608017126
NCW42,OUT045,3763.3351465125916
NCX06,OUT049,2993.5450420418033
FDC37,OUT027,2893.630628670522
FDZ14,OUT018,1950.9823894114359
DRG49,OUT049,3881.9473683689707
NCG06,OUT045,4070.3209679906186
DRC36,OUT045,2878.1349239179385
FDV21,OUT019,280.97826225982396
