Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786000001
FDW14,OUT017,1435.9121343749998
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142843
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.8820884848474
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142843
FDQ56,OUT045,1435.9121343749998
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2142.7435709401707
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.4132673684207
FDI57,OUT045,3130.004904950496
DRC12,OUT018,2893.8398258992815
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.5893175257743
NCJ31,OUT035,3737.295775182483
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818154
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842525
FDE21,OUT035,1922.1493817142843
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2893.8398258992815
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848474
FDD48,OUT010,281.48208181818154
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848474
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818154
NCY54,OUT017,2778.5893175257743
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1649.299786000001
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182483
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040941
FDM03,OUT013,1461.8437959999992
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401707
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.5620849056604
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1435.9121343749998
FDW12,OUT035,2286.4132673684207
FDL51,OUT017,3643.5197259842525
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.4132673684207
FDB35,OUT027,2517.8820884848474
FDA22,OUT017,2286.4132673684207
NCL06,OUT046,4034.3003068965527
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.21835841584
NCX06,OUT049,2778.5893175257743
FDC37,OUT027,2517.8820884848474
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.062559154928
NCG06,OUT045,4034.3003068965527
DRC36,OUT045,3259.5620849056604
FDV21,OUT019,281.48208181818154
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727271
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083334
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.2122382352945
FDU58,OUT013,2893.8398258992815
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.2122382352945
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848474
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.2007979999994
FDA03,OUT018,2232.847021848739
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711646
FDT39,OUT018,2232.847021848739
FDK60,OUT017,1461.8437959999992
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.669596721311
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727271
FDM22,OUT049,796.6402682539688
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.89728372093043
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.89088
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.8820884848474
FDS28,OUT046,935.0323883040941
FDX24,OUT013,1435.9121343749998
FDZ02,OUT035,1682.2122382352945
FDL46,OUT045,1827.832845454545
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.9121343749998
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.832845454545
FDW23,OUT018,507.04640366972495
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1649.299786000001
FDW60,OUT018,3259.5620849056604
FDE21,OUT013,1922.1493817142843
NCM42,OUT035,1682.2122382352945
FDY59,OUT010,219.21852093023247
DRI49,OUT049,1202.656733333333
FDT28,OUT019,346.89728372093043
FDQ22,OUT018,507.04640366972495
FDR60,OUT049,1202.656733333333
FDC50,OUT019,219.21852093023247
FDV24,OUT013,2503.5013364485985
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.0706258064515
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.9121343749998
NCB54,OUT045,1827.832845454545
NCF31,OUT035,2286.4132673684207
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1682.2122382352945
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.21835841584
NCI06,OUT010,425.9355914529917
DRM11,OUT035,4433.304032653063
NCH07,OUT018,2232.847021848739
FDS23,OUT013,2142.7435709401707
FDO49,OUT018,713.858654545455
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1435.9121343749998
DRI39,OUT049,796.6402682539688
FDV04,OUT017,2503.5013364485985
NCN14,OUT035,3384.108064242422
FDH08,OUT013,3643.5197259842525
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818154
FDS24,OUT027,2517.8820884848474
FDK44,OUT049,2552.0052351851864
FDS48,OUT045,3053.099877777778
