Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1735.8992719626162
FDW14,OUT017,1262.9388238410588
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2336.3497827027018
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1517.634856621005
FDA36,OUT017,3035.893271830985
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1349.202909881423
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2153.314263736263
DRL59,OUT013,754.596095726496
FDM24,OUT049,2410.086386585366
FDI57,OUT045,2931.7887687203793
DRC12,OUT018,3035.893271830985
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.968429875518
NCJ31,OUT035,3956.960966486485
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.4177705128204
FDS10,OUT035,3035.893271830985
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.596095726496
NCE06,OUT046,2662.2946364485983
DRC27,OUT046,3956.960966486485
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.33349056603777
FDX51,OUT018,2931.7887687203793
NCR06,OUT018,637.5735090128757
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2608.1464869198317
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128204
NCF18,OUT017,3035.893271830985
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1961.813186982248
FDY19,OUT010,286.4177705128204
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2559.252954117647
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1735.8992719626162
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3035.893271830985
FDF41,OUT035,3956.960966486485
FDU34,OUT046,2153.314263736263
DRH11,OUT046,876.3205797979799
FDM03,OUT013,1735.8992719626162
FDS31,OUT017,3035.893271830985
FDJ20,OUT017,2022.5371509615377
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3343.8390911504416
FDA09,OUT013,2736.968429875518
FDT04,OUT013,637.5735090128757
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1437.1870026666663
FDW12,OUT035,2559.252954117647
FDL51,OUT017,3628.9480612403095
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.634856621005
FDN40,OUT045,2336.3497827027018
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2608.1464869198317
NCL06,OUT046,4311.576251315791
FDI35,OUT013,3343.8390911504416
NCW42,OUT045,3628.9480612403095
NCX06,OUT049,2736.968429875518
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,2022.5371509615377
DRG49,OUT049,3956.960966486485
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.4177705128204
FDB53,OUT046,2410.086386585366
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2559.252954117647
DRC24,OUT035,2336.3497827027018
FDW21,OUT018,1622.919642068967
NCH29,OUT046,1517.634856621005
FDU58,OUT013,3343.8390911504416
FDY27,OUT017,2736.968429875518
FDV56,OUT035,1622.919642068967
FDT59,OUT046,3852.7519279569938
FDB23,OUT046,3852.7519279569938
FDR49,OUT045,754.596095726496
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2608.1464869198317
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.634856621005
NCT29,OUT013,2153.314263736263
FDZ27,OUT046,754.596095726496
FDN57,OUT017,1961.813186982248
FDA03,OUT018,2559.252954117647
FDZ36,OUT045,3035.893271830985
NCU05,OUT013,1349.202909881423
FDT39,OUT018,2410.086386585366
FDK60,OUT017,1517.634856621005
FDZ25,OUT017,2608.1464869198317
FDG12,OUT046,2153.314263736263
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979799
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268273
FDB33,OUT010,384.48867398374
FDP27,OUT046,3343.8390911504416
FDO38,OUT010,130.33349056603777
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1517.634856621005
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979799
FDX24,OUT013,1437.1870026666663
FDZ02,OUT035,1517.634856621005
FDL46,OUT045,1874.4309598591547
FDS60,OUT027,5669.163351428568
NCO06,OUT017,552.5502107784431
FDO16,OUT035,1349.202909881423
FDC60,OUT049,1349.202909881423
FDA48,OUT018,3327.9525829268273
FDZ36,OUT027,5669.163351428568
FDK27,OUT045,2022.5371509615377
FDW23,OUT018,637.5735090128757
FDM14,OUT018,1622.919642068967
FDM14,OUT013,1735.8992719626162
FDW60,OUT018,2736.968429875518
FDE21,OUT013,1874.4309598591547
NCM42,OUT035,1622.919642068967
FDY59,OUT010,230.00859181286538
DRI49,OUT049,1349.202909881423
FDT28,OUT019,384.48867398374
FDQ22,OUT018,637.5735090128757
FDR60,OUT049,1349.202909881423
FDC50,OUT019,230.00859181286538
FDV24,OUT013,2336.3497827027018
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.5502107784431
DRN36,OUT049,1517.634856621005
NCY06,OUT035,1961.813186982248
FDE52,OUT035,1437.1870026666663
NCB54,OUT045,2022.5371509615377
NCF31,OUT035,2336.3497827027018
FDJ08,OUT027,5669.163351428568
NCC07,OUT017,1622.919642068967
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1874.4309598591547
FDM20,OUT045,3956.960966486485
NCI06,OUT010,384.48867398374
DRM11,OUT035,4311.576251315791
NCH07,OUT018,2662.2946364485983
FDS23,OUT013,2153.314263736263
FDO49,OUT018,754.596095726496
FDS35,OUT049,1103.1862133333334
DRK39,OUT045,1349.202909881423
DRI39,OUT049,876.3205797979799
FDV04,OUT017,2662.2946364485983
NCN14,OUT035,3035.893271830985
FDH08,OUT013,3852.7519279569938
FDS20,OUT046,3343.8390911504416
FDV40,OUT049,1103.1862133333334
FDZ48,OUT010,230.00859181286538
FDS24,OUT027,2513.079854666666
FDK44,OUT049,2997.4076790419153
FDS48,OUT045,2410.086386585366
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3035.893271830985
NCH54,OUT017,2662.2946364485983
NCP14,OUT010,230.00859181286538
FDM60,OUT010,130.33349056603777
FDV24,OUT017,2410.086386585366
FDH08,OUT018,3327.9525829268273
FDS12,OUT027,3175.335988157896
FDR39,OUT027,5669.163351428568
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,5669.163351428568
FDC09,OUT035,1622.919642068967
FDF50,OUT018,2931.7887687203793
FDG28,OUT035,3956.960966486485
NCE19,OUT017,876.3205797979799
NCM53,OUT010,230.00859181286538
NCN18,OUT049,1735.8992719626162
FDF32,OUT035,2931.7887687203793
FDF11,OUT013,3956.960966486485
DRI59,OUT049,3852.7519279569938
NCG54,OUT035,2608.1464869198317
FDM44,OUT046,1735.8992719626162
FDT57,OUT018,3327.9525829268273
FDV24,OUT046,2410.086386585366
FDI50,OUT019,542.9755395973153
FDS09,OUT035,754.596095726496
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,542.9755395973153
FDC22,OUT017,3035.893271830985
FDZ56,OUT046,2608.1464869198317
FDZ40,OUT019,130.33349056603777
FDS46,OUT027,3175.335988157896
DRD24,OUT045,1961.813186982248
FDV45,OUT017,3035.893271830985
FDL26,OUT045,2336.3497827027018
FDA56,OUT018,2022.5371509615377
FDN27,OUT046,1874.4309598591547
FDM20,OUT049,3956.960966486485
FDO16,OUT017,1262.9388238410588
FDL03,OUT035,2931.7887687203793
FDE58,OUT046,1874.4309598591547
FDI02,OUT027,3175.335988157896
NCC55,OUT019,130.33349056603777
FDR03,OUT018,3327.9525829268273
FDB14,OUT017,1262.9388238410588
FDR45,OUT013,3956.960966486485
NCN07,OUT017,1961.813186982248
FDM51,OUT019,230.00859181286538
FDT52,OUT027,5669.163351428568
FDL26,OUT046,2336.3497827027018
NCZ42,OUT046,3956.960966486485
DRI47,OUT019,384.48867398374
FDW40,OUT013,2153.314263736263
FDN34,OUT046,2608.1464869198317
FDS01,OUT035,2736.968429875518
NCG55,OUT045,1874.4309598591547
FDC11,OUT035,1349.202909881423
FDX35,OUT018,3327.9525829268273
NCB06,OUT046,2662.2946364485983
FDR09,OUT019,542.9755395973153
FDC53,OUT017,1517.634856621005
FDY45,OUT013,4131.978437869822
FDA22,OUT010,384.48867398374
FDE02,OUT035,1517.634856621005
FDW21,OUT045,1622.919642068967
FDV34,OUT046,1103.1862133333334
FDS59,OUT049,1735.8992719626162
NCW17,OUT017,2022.5371509615377
NCK54,OUT046,1874.4309598591547
FDG17,OUT019,542.9755395973153
FDG35,OUT017,2997.4076790419153
FDD08,OUT010,130.33349056603777
NCO07,OUT017,3628.9480612403095
FDJ10,OUT010,286.4177705128204
FDW36,OUT017,1622.919642068967
FDW21,OUT010,230.00859181286538
FDY19,OUT017,1874.4309598591547
DRE03,OUT013,754.596095726496
NCC55,OUT049,637.5735090128757
FDH52,OUT010,130.33349056603777
